Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
HOW TO CONTRIBUTE TO EXISTING GITHUB TASKS?	1.  \n\nGo to the GitHub Page.\n\n2.  \n\nOpen an existing issue of interest. Assign it to yourself.\n\nNote: The maximum contributors per issue can be 10, as defined GitHub policy.\n\n3.  \n\nFork the project and start contributing via Pull Requests.	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	19
HOW TO CREATE NEW TASKS FOR GITHUB CONTRIBUTIONS?	Below are the steps to create a new task:\n\n1.  Share your GitHub Handle for contributor access to create new issues [here](https://forms.office.com/Pages/ResponsePage.aspx?id=v4j5cvGGr0GRqy180BHbR1Uf5lGAi4ZOuTaEyFzZ20xUMklVWDBGNkpGMjM3MUFGT1lYWlZLNVJXRi4u) .\n\n2.  Go to the [GitHub Page](https://github.com/likamrat/foldingathome/issues) and click on “New issue”.\n\n3.  \n\nAdd a Title.\n\n4.  \n\nIn the Body, please follow the below format. Assign the task to yourself. Label the task as “give”. Add this task to the project “MS Give 2020”.\n![Img 2360]()\n\n5.  \n\nClick on “Submit new issue”.\n\n6.  \n\nFork the project and start contributing via Pull Requests\n\nRESOURCES\nGitHub Repository - [FOLDING@HOME Team 999 - Microsoft fight on COVID-19](https://github.com/likamrat/foldingathome)Give Project - [Folding@Home by Washington University](https://microsoft.benevity.org/cause/840-430653611/project/3X4AGHLQE7)Deck - [https://aka.ms/techteamfolds](https://aka.ms/techteamfolds) Contact [US OCP Folding at Home Challenge](mailto:ocpfoldingathome@microsoft.com?subject=Internal%20Folding@Home%20Challenge%20Inquiry) with further questions	FOLDING@HOME Challenge FAQ.docx		[]	false	[]	20
Folding@Home home page	[https://foldingathome.org/](https://foldingathome.org/)	Editorial		[]	false	[]	21
Folding@Home main page	[https://foldingathome.org/](https://foldingathome.org/)	Editorial		[]	false	[]	21
Lori's Github Repo	[https://github.com/likamrat/foldingathome](https://github.com/likamrat/foldingathome)	Editorial		[]	false	[]	22
Folding@Home Power BI Dashboard	https://github.com/likamrat/foldingathome/blob/master/dashboards/PowerBI/README.md	Editorial		[]	false	[]	23
Window User get started	https://github.com/likamrat/foldingathome/blob/master/docs/Windows.md	Editorial		[]	false	[]	24
MacOS User get started	https://github.com/likamrat/foldingathome/blob/master/docs/MacOS.md	Editorial		[]	false	[]	25
Mac User get started	https://github.com/likamrat/foldingathome/blob/master/docs/MacOS.md	Editorial		[]	false	[]	25
I have an Ubuntu Server which I want to use and start folding	https://github.com/likamrat/foldingathome/blob/master/docs/UbuntuServer.md	Editorial		[]	false	[]	26
I don't want to install anything locally but I'm cool with deploying a Docker container	https://github.com/likamrat/foldingathome/blob/master/docs/Docker.md	Editorial		[]	false	[]	27
use Azure VM to start folding	https://github.com/likamrat/foldingathome/blob/master/docs/Azure.md	Editorial		[]	false	[]	28
